Company,Rating(5),Review_count,Domain,Location,No. of Employees,Years old
Schreiber Dynami...,4.5,95,Public,"Mumbai,Maharashtra + 4 more",501-1k Employees (India),29
Windsor Machines,3.7,95,Public,"Ahmedabad,Gujarat + 14 more",501-1k Employees (India),59
SIAC SKH India C...,3.8,95,unknown,Palwal + 5 more,1-10 Employees (India),12
Government Hospi...,4.2,95,unknown,Chennai + 48 more,unknown,unknown
IXAR,3.7,95,Private,Mumbai + 8 more,51-200 Employees (India),53
Shore Infotech I...,3.2,95,Private,"New York,NY",201-500 Employees (India),15
InfoService,3.2,95,Private,"Chennai,Tamil Nadu + 17 more",501-1k Employees (Global),18
Sembcorp Marine,4.5,95,Private,Singapore + 4 more,5k-10k Employees (India),59
DS Spiceco,4.0,95,Private,Noida + 34 more,501-1k Employees (India),35
Aster Cmi Hospit...,4.1,95,Public,"Bangalore/Bengaluru,Karnataka + 2 more",201-500 Employees (India),35
Cheema Boilers,4.0,95,Public,"Mohali,Punjab + 6 more",501-1k Employees (India),23
Nerdy Turtlez,3.3,95,unknown,"Noida,Uttar Pradesh + 3 more",201-500 Employees (India),13
Myoung Shin Indi...,4.1,95,Private,"Kanchipuram,Tamil Nadu + 4 more",51-200 Employees (India),16
Avanse Financial...,4.2,95,Private,"Mumbai,Maharashtra + 17 more",51-200 Employees (India),10
Architect Hafeez...,3.8,95,Private,Mumbai + 3 more,201-500 Employees (India),40
Stedman Pharmace...,4.0,96,Private,"Chennai,Tamil Nadu + 15 more",201-500 Employees (India),31
Manikaran Power,2.9,94,Private,"Delhi/NCR,Delhi + 6 more",501-1k Employees (India),17
Underwriters Lab...,4.4,94,Private,"Northbrook,Illinois + 6 more",501-1k Employees (India),128
Lester Infoservi...,3.6,94,Private,"East Haven,Connecticut + 1 more",201-500 Employees (India),41
Tata Sikorsky Ae...,4.0,94,Private,Hyderabad + 1 more,201-500 Employees (India),14
Kobelco Construc...,4.2,94,Private,Noida + 16 more,201-500 Employees (India),15
Excel Crop Care,4.3,94,Public,"Mumbai,Maharashtra + 14 more",1k-5k Employees (India),58
Shemaroo Enterta...,3.7,94,Public,"Mumbai,Maharashtra + 6 more",501-1k Employees (India),60
Dubai Electricit...,4.2,94,Private,"Dubai,Dubai + 1 more",10k-50k Employees (India),30
Embee Software,3.9,94,Private,"Kolkata,West Bengal + 11 more",501-1k Employees (India),35
RND Softech,3.8,94,Private,"Coimbatore,Tamil Nadu",1k-5k Employees (India),23
Crescent Foundry,3.7,94,Private,Kolkata + 5 more,501-1k Employees (India),40
Mapro Foods,3.5,94,Private,"Mahabaleshwar,Maharashtra + 24 more",201-500 Employees (India),63
Easypolicy.com,3.5,94,Private,"Noida,Uttar Pradesh + 4 more",201-500 Employees (India),11
Go Speedy Go,4.5,94,Private,Bhubaneswar + 4 more,201-500 Employees (India),5
Excel Crop Care,4.3,94,Public,"Mumbai,Maharashtra + 14 more",1k-5k Employees (India),58
Manikaran Power,2.9,94,Private,"Delhi/NCR,Delhi + 6 more",501-1k Employees (India),17
Embee Software,3.9,94,Private,"Kolkata,West Bengal + 11 more",501-1k Employees (India),35
Mapro Foods,3.5,94,Private,"Mahabaleshwar,Maharashtra + 24 more",201-500 Employees (India),63
Easypolicy.com,3.5,94,Private,"Noida,Uttar Pradesh + 4 more",201-500 Employees (India),11
Lester Infoservi...,3.6,94,Private,"East Haven,Connecticut + 1 more",201-500 Employees (India),41
Sysinformation H...,3.7,94,Private,"Texas,Texas + 1 more",51-200 Employees (India),17
Packt Publishing,3.6,94,Private,"Colmore Business District,Birmingham + 1 more",201-500 Employees (India),18
Spun Micro Proce...,3.6,94,unknown,Gurugram + 5 more,51-200 Employees (India),31
Tata Sikorsky Ae...,4.0,94,Private,Hyderabad + 1 more,201-500 Employees (India),14
Tps Infrastructu...,4.1,94,Private,"Delhi/NCR,Delhi + 9 more",201-500 Employees (India),32
RND Softech,3.8,94,Private,"Coimbatore,Tamil Nadu",1k-5k Employees (India),23
Underwriters Lab...,4.4,94,Private,"Northbrook,Illinois + 6 more",501-1k Employees (India),128
Kobelco Construc...,4.2,94,Private,Noida + 16 more,201-500 Employees (India),15
Pinnacle Industr...,3.8,94,unknown,Pithampur + 8 more,501-1k Employees (India),26
Shemaroo Enterta...,3.7,94,Public,"Mumbai,Maharashtra + 6 more",501-1k Employees (India),60
Goel Ganga Group,4.5,94,Private,"Pune,Maharashtra + 2 more",51-200 Employees (India),19
Prompt Personnel...,3.7,94,Private,"Mumbai,Maharashtra + 19 more",201-500 Employees (India),25
Crescent Foundry,3.7,94,Private,Kolkata + 5 more,501-1k Employees (India),40
Revlon,4.0,94,unknown,New York + 21 more,501-1k Employees (India),90
Fragma Data Syst...,4.8,94,LLP,"Bangalore/Bengaluru,Karnataka",51-200 Employees (India),7
Go Speedy Go,4.5,94,Private,Bhubaneswar + 4 more,201-500 Employees (India),5
House of Beauty,4.8,94,unknown,"Gurgaon/Gurugram,Haryana + 13 more",51-200 Employees (India),3
Malayala Manoram...,3.9,94,Private,Kottayam + 17 more,1k-5k Employees (India),134
3F Industries,4.0,137,Public,"Prathipadu,Andhra Pradesh + 14 more",1k-5k Employees (India),62
Arabian Bemco Co...,4.6,93,unknown,Jeddah + 10 more,51-200 Employees (India),54
Harita Seating S...,4.3,93,Public,"Hosur,Tamil Nadu + 9 more",201-500 Employees (India),12
Teerthanker Maha...,3.6,93,unknown,"Moradabad,Uttar Pradesh + 4 more",1k-5k Employees (India),14
K R Mangalam Uni...,4.6,93,unknown,"Gurgaon,Haryana + 4 more",51-200 Employees (India),9
Kaff Appliances ...,3.2,93,unknown,"Gurgaon,Haryana + 19 more",51-200 Employees (India),15
SMCC Constructio...,4.1,93,Private,New Delhi + 11 more,51-200 Employees (India),26
H-one India,3.7,93,unknown,Saitama + 9 more,51-200 Employees (India),16
VIVO Healthcare,3.0,93,Private,"Gurgaon,Haryana + 14 more",51-200 Employees (India),13
MahaOnline,4.6,93,Public,"Mumbai,Maharashtra + 19 more",501-1k Employees (Global),12
Pradan,4.5,93,Private,New Delhi + 20 more,201-500 Employees (India),39
NSDL e-Governanc...,4.0,93,Public,"Mumbai,Maharashtra + 6 more",501-1k Employees (India),27
Praxis home Reta...,4.2,93,Public,Mumbai + 23 more,1k-5k Employees (India),15
XenonStack,4.2,93,Private,"SunnyVale,California",51-200 Employees (India),10
Intercraft Tradi...,4.4,93,unknown,"Mumbai,Maharashtra + 20 more",201-500 Employees (India),28
Cholamandalam MS...,3.9,93,JV,Chennai + 16 more,201-500 Employees (India),28
TEXILA AMERICAN ...,4.6,93,Private,Guyana + 5 more,11-50 Employees (India),12
Ray Engineering,4.2,93,unknown,Mumbai + 12 more,11-50 Employees (India),16
The Indure,3.5,93,Private,New Delhi + 13 more,51-200 Employees (India),52
Bilt Graphic Pap...,4.0,93,Public,Mumbai + 8 more,51-200 Employees (India),15
Sargam Electroni...,3.0,93,Private,New Delhi + 9 more,1k-5k Employees (India),38
Faber Sindoori M...,3.9,93,unknown,Chennai + 15 more,1k-5k Employees (Global),15
BookMyShow,3.8,93,Private,"Mumbai,Maharashtra + 12 more",501-1k Employees (India),23
KisanKraft Machi...,3.3,93,Private,"Bangalore/Bengaluru,Karnataka + 14 more",201-500 Employees (India),17
Selectsys,3.7,93,Private,Knoxville,51-200 Employees (India),16
Dimension India ...,3.7,93,Private,"Noida,Uttar Pradesh + 10 more",201-500 Employees (India),22
Delhi Police,3.8,93,Private,New Delhi + 10 more,1k-5k Employees (India),161
NMDC,4.3,93,Private,"Hyderabad/Secunderabad,Telangana + 13 more",501-1k Employees (India),64
Cummins Turbo Te...,4.2,93,unknown,Dewas + 4 more,10k-50k Employees (India),unknown
Carwale,4.0,93,Private,"Mumbai,Maharashtra + 15 more",501-1k Employees (India),17
Synchronoss Tech...,4.3,93,Private,"Bridgewater,New Jersey + 1 more",501-1k Employees (India),22
India Infoline H...,3.4,93,Public,Gurgaon + 38 more,51-200 Employees (India),13
Oswal Castings,4.1,93,Private,"Faridabad,Haryana + 3 more",51-200 Employees (India),17
Creative Info-li...,3.9,93,Private,Kolkata + 29 more,51-200 Employees (India),11
Sulphur Mills,3.9,93,Public,"Mumbai,Maharashtra + 15 more",201-500 Employees (India),62
Gowtham Model Sc...,4.2,93,unknown,Secunderabad + 10 more,201-500 Employees (India),19
Tata Autocomp GY...,4.0,93,Private,Pune + 21 more,201-500 Employees (India),17
Sai Service Stat...,3.8,93,Private,"Mumbai,Maharashtra + 10 more",11-50 Employees (India),37
Frontline NCR Bu...,3.5,93,Private,New Delhi + 22 more,1k-5k Employees (Global),15
Bluestone.com,3.9,93,Private,"Bangalore,Karnataka + 16 more",501-1k Employees (India),11
Cogoport,4.3,93,Private,"Mumbai,Maharashtra + 7 more",51-200 Employees (India),6
Celebrity Cruise...,4.6,93,unknown,Miami + 3 more,501-1k Employees (India),33
J Pan Tubular Co...,4.0,93,Private,Greater Noida + 6 more,51-200 Employees (India),15
Karnataka Bank,3.5,93,Public,"Mangaluru/Mangalore,Karnataka + 32 more",5k-10k Employees (India),98
MTS,4.6,93,Private,"Minnesota,Hennepin + 36 more",1k-5k Employees (India),56
Plintron Global ...,3.5,93,Private,Singapore + 2 more,501-1k Employees (India),14
DBG Technology,4.1,93,unknown,Huizhou + 5 more,1k-5k Employees (India),27
Sopra Banking So...,4.3,93,Public,"Paris,Ile-de-France + 3 more",51-200 Employees (India),10
Lee Pharma,4.1,93,Private,"Hyderabad/Secunderabad,Telangana + 3 more",51-200 Employees (India),25
InnovationM,3.9,93,Private,"Noida,Uttar Pradesh + 3 more",201-500 Employees (India),12
Tyco Fire & Secu...,4.2,92,Private,Abu Dhabi + 15 more,501-1k Employees (India),30
Vision Rx Lab,4.2,92,unknown,Kolkata + 17 more,501-1k Employees (India),63
Pathcare Labs,4.0,92,Private,"Hyderabad/Secunderabad,Telangana + 23 more",201-500 Employees (India),15
Bando India,3.6,92,Private,"Gurgaon/Gurugram,Haryana + 8 more",201-500 Employees (India),19
Pasco Automobile...,4.4,92,Private,"Gurgaon/Gurugram,Haryana + 4 more",11-50 Employees (Global),37
Atidan Technolog...,4.7,92,Private,"Mumbai,Maharashtra + 4 more",51-200 Employees (India),17
Flowmore,4.2,92,Private,"Gurgaon/Gurugram,Haryana + 8 more",1k-5k Employees (India),76
DTC Projects,4.0,92,Private,"Vancouver,British Columbia + 6 more",51-200 Employees (India),52
Natural Remedies,3.5,92,Private,"Bangalore/Bengaluru,Karnataka + 8 more",501-1k Employees (India),71
NaviSite,3.9,92,Private,Andover + 1 more,501-1k Employees (India),25
RS Software,4.1,92,Public,Milpitas + 2 more,201-500 Employees (India),31
CIGNEX,4.3,92,Private,"Livonia,Michigan + 8 more",501-1k Employees (India),22
Choice Solutions...,3.5,92,Private,"Hyderabad/Secunderabad,Telangana + 10 more",501-1k Employees (India),37
Enova Facilities...,4.3,92,Private,"Chicago,Illinois + 10 more",1k-5k Employees (Global),20
India Transact S...,4.2,92,unknown,Mumbai + 26 more,501-1k Employees (India),15
D Light Energy,3.9,92,Private,"San Francisco,California + 22 more",51-200 Employees (India),15
Hy Gro Chemicals...,3.9,92,Private,Secunderabad + 4 more,51-200 Employees (India),52
Village Financia...,3.9,92,Private,Kolkata + 26 more,1k-5k Employees (India),40
Kisan Mouldings,4.3,92,Public,"Mumbai,Maharashtra + 19 more",501-1k Employees (India),40
Virtusa Software...,3.5,92,Public,Southborough + 7 more,5k-10k Employees (India),26
Hirschvogel Comp...,4.2,92,Private,Denklingen,5k-10k Employees (India),84
G-Cube Solutions,3.6,92,Private,Noida + 3 more,201-500 Employees (India),22
Damodar Valley C...,3.8,92,unknown,Kolkata + 11 more,5k-10k Employees (India),74
Veritaz Healthca...,4.1,92,Private,Hyderabad + 23 more,201-500 Employees (India),17
CLP India,4.3,92,Private,"Mumbai,Maharashtra + 10 more",201-500 Employees (India),20
ABSAS Solutions,3.0,92,Private,Noida + 2 more,51-200 Employees (India),13
Turner Construct...,4.1,92,Private,"New York,New York State + 14 more",51-200 Employees (India),120
VIS Networks,4.2,92,Private,"Bangalore/Bengaluru,Karnataka + 10 more",201-500 Employees (India),11
iSource,3.0,92,Private,"Noida,Uttar Pradesh + 8 more",201-500 Employees (India),19
Dr ITM,3.2,92,Private,Chandigarh + 9 more,51-200 Employees (India),23
Khaitan Electric...,3.4,92,Public,Kolkata + 22 more,201-500 Employees (India),41
Sindhu Cargo Ser...,3.4,92,Private,Bengaluru + 8 more,501-1k Employees (India),35
SAGE Publication...,4.1,92,Private,Thousand Oaks + 4 more,201-500 Employees (India),57
Tokai Imperial R...,3.9,92,Private,"Faridabad,Haryana + 7 more",10k-50k Employees (India),17
Axalta Coating S...,4.4,92,Private,"Philadelphia,New South Wales + 16 more",51-200 Employees (India),9
NIMS University,3.3,92,Private,"Jaipur,Rajasthan + 4 more",501-1k Employees (India),14
ECOS (I) MOBILIT...,3.8,92,Private,New Delhi + 7 more,501-1k Employees (India),26
KRYFS POWER COMP...,4.3,92,Private,Mumbai + 10 more,201-500 Employees (India),30
ATC Tires,4.0,92,Private,Mumbai + 11 more,201-500 Employees (India),15
MDC Group of Com...,4.8,92,Private,Muscat + 1 more,11-50 Employees (Global),unknown
Hcl Foundation,4.3,92,Private,Noida + 5 more,11-50 Employees (India),46
Calderys India R...,4.0,92,Private,Paris + 11 more,501-1k Employees (India),114
Toyotetsu india ...,4.6,92,Private,Aichi + 3 more,501-1k Employees (India),13
Learning Links F...,4.4,92,Public,"Delhi/NCR,Delhi + 24 more",501-1k Employees (India),20
Rexel,4.1,92,Private,Paris + 16 more,201-500 Employees (India),8
Liugong India,3.3,92,Private,"Delhi/NCR,Delhi + 11 more",201-500 Employees (India),64
MDC Group of Com...,4.8,92,Private,Muscat + 1 more,11-50 Employees (Global),unknown
Calderys India R...,4.0,92,Private,Paris + 11 more,501-1k Employees (India),114
KRYFS POWER COMP...,4.3,92,Private,Mumbai + 10 more,201-500 Employees (India),30
ATC Tires,4.0,92,Private,Mumbai + 11 more,201-500 Employees (India),15
Toyotetsu india ...,4.6,92,Private,Aichi + 3 more,501-1k Employees (India),13
Liugong India,3.3,92,Private,"Delhi/NCR,Delhi + 11 more",201-500 Employees (India),64
Hcl Foundation,4.3,92,Private,Noida + 5 more,11-50 Employees (India),46
Choice Solutions...,3.5,92,Private,"Hyderabad/Secunderabad,Telangana + 10 more",501-1k Employees (India),37
Virtusa Software...,3.5,92,Public,Southborough + 7 more,5k-10k Employees (India),26
Hirschvogel Comp...,4.2,92,Private,Denklingen,5k-10k Employees (India),84
Rolls-Royce,3.5,92,Private,London + 6 more,501-1k Employees (India),23
Man Industries,3.9,92,Public,"Mumbai,Maharashtra + 7 more",1k-5k Employees (India),34
Maneesh Pharmace...,3.8,91,Private,"Mumbai,Maharashtra + 9 more",201-500 Employees (India),47
Anri Solutions H...,3.5,91,Private,Delhi + 2 more,11-50 Employees (India),19
Fawaz Alhokair G...,4.2,91,Private,Riyadh + 5 more,11-50 Employees (India),32
The Web Plant,4.3,91,Private,New Delhi + 1 more,51-200 Employees (India),11
Yashashvi Rasaya...,4.1,91,Private,"Navsari,Gujarat + 6 more",501-1k Employees (India),32
Desai Constructi...,4.1,91,Private,"Mumbai,Maharashtra + 15 more",51-200 Employees (India),47
Illusion Dental ...,4.3,91,Private,"Mumbai,Maharashtra + 23 more",11-50 Employees (India),18
Cotecna Inspecti...,3.6,91,Private,"Geneva,Geneva + 23 more",201-500 Employees (India),48
TMTL,4.0,91,unknown,Chennai + 14 more,10k-50k Employees (India),17
Quadgen Wireless...,3.5,91,Private,"King Of Prussia,Pennsylvania + 13 more",51-200 Employees (India),15
Ace Creative Lea...,4.2,91,Private,Bangalore + 11 more,1k-5k Employees (India),24
VWR Internationa...,3.8,91,Private,"Radnor,Pennsylvania",51-200 Employees (India),170
GKN Sinter Metal...,4.0,91,Private,Auburn Hills + 5 more,51-200 Employees (India),120
Autodesk,4.5,91,Private,"San Rafael,California + 17 more",1k-5k Employees (India),24
Vistaprint,4.1,91,Private,Mumbai + 7 more,1k-5k Employees (India),10
Aranca,3.9,91,Private,"Mumbai,Maharashtra + 1 more",501-1k Employees (India),19
RateGain,3.6,91,Private,"London,England + 2 more",201-500 Employees (India),18
M+W Group,4.4,91,Private,Stuttgart + 10 more,51-200 Employees (India),110
Ga Digital Web W...,3.9,91,Private,"Ghaziabad,Uttar Pradesh + 19 more",201-500 Employees (India),19
Illusion Dental ...,4.3,91,Private,"Mumbai,Maharashtra + 23 more",11-50 Employees (India),18
Maccaferri,3.7,91,Private,Bologna + 16 more,201-500 Employees (India),143
Paranjape Scheme...,4.1,91,Private,"Pune,Maharashtra + 6 more",201-500 Employees (India),92
Alstrong Enterpr...,4.2,91,Private,"Delhi/NCR,New Delhi + 20 more",201-500 Employees (India),21
Maneesh Pharmace...,3.8,91,Private,"Mumbai,Maharashtra + 9 more",201-500 Employees (India),47
Pravin Electrica...,3.7,91,Private,"Mumbai,Maharashtra + 8 more",1k-5k Employees (India),36
Vistaprint,4.1,91,Private,Mumbai + 7 more,1k-5k Employees (India),10
SevenMentor,4.8,91,Private,"Pune,Maharashtra",51-200 Employees (India),13
Hinduja Foundrie...,3.9,91,unknown,Chennai + 5 more,1 Lakh+ Employees (India),63
Ace Creative Lea...,4.2,91,Private,Bangalore + 11 more,1k-5k Employees (India),24
Mehta Cad Cam Sy...,4.0,91,Private,"Ahmedabad,Gujarat + 11 more",51-200 Employees (India),33
GKN Sinter Metal...,4.0,91,Private,Auburn Hills + 5 more,51-200 Employees (India),120
TMTL,4.0,91,unknown,Chennai + 14 more,10k-50k Employees (India),17
Umedica Laborato...,3.6,91,Private,"Mumbai,Maharashtra + 3 more",51-200 Employees (India),40
Three D Integrat...,3.2,91,Private,"Gurugram,Haryana + 11 more",51-200 Employees (India),15
Hard Rock Cafe,4.3,91,Private,Davie + 14 more,11-50 Employees (India),51
Fawaz Alhokair G...,4.2,91,Private,Riyadh + 5 more,11-50 Employees (India),32
Spykar Lifestyle...,4.3,91,Private,"Mumbai,Maharashtra + 21 more",501-1k Employees (India),30
Quadgen Wireless...,3.5,91,Private,"King Of Prussia,Pennsylvania + 13 more",51-200 Employees (India),15
M+W Group,4.4,91,Private,Stuttgart + 10 more,51-200 Employees (India),110
Lyrus Life Scien...,3.5,91,Private,"Bangalore/Bengaluru,Karnataka + 1 more",51-200 Employees (India),7
VWR Internationa...,3.8,91,Private,"Radnor,Pennsylvania",51-200 Employees (India),170
ACS Group,4.0,91,Private,Duluth + 6 more,1k-5k Employees (India),24
IndiaLends,3.8,91,Private,"Delhi,NCT + 2 more",201-500 Employees (India),8
Anri Solutions H...,3.5,91,Private,Delhi + 2 more,11-50 Employees (India),19
Anupam Rasayan I...,4.3,91,Public,"Surat,Gujarat + 7 more",201-500 Employees (India),45
AABSyS IT,4.1,91,Private,"Bhubaneswar,Odisha + 5 more",201-500 Employees (India),24
Ravindra Bharath...,3.7,91,unknown,Hyderabad + 18 more,11-50 Employees (India),28
Wabtec,4.2,91,Private,"Wilmerding,Pennsylvania + 12 more",1k-5k Employees (India),150
Mirafra Technolo...,4.2,91,Private,"Bangalore/Bengaluru,Karnataka + 2 more",501-1k Employees (India),18
Autodesk,4.5,91,Private,"San Rafael,California + 17 more",1k-5k Employees (India),24
Sunteck Realty,3.4,91,Public,"Mumbai,Maharashtra + 2 more",51-200 Employees (India),41
TVS - SUNDARAM B...,3.6,91,Public,Chennai + 11 more,1k-5k Employees (India),46
eMDs,3.6,91,Private,Austin + 4 more,201-500 Employees (India),26
Nv Group,3.8,91,Private,New Delhi + 10 more,501-1k Employees (India),28
Bridgei2i Analyt...,3.9,91,Private,"Bangalore,Karnataka + 2 more",1k-5k Employees (India),11
Redington Gulf,3.7,91,unknown,Dubai + 1 more,1k-5k Employees (Global),23
Umlaut,3.2,91,Private,"Aachen,North Rhine-Westphalia + 2 more",501-1k Employees (India),26
NEARBY TECHNOLOG...,4.3,91,unknown,Mumbai + 15 more,1k-5k Employees (India),6
Chetana Publicat...,3.1,91,Private,"Mumbai,Maharashtra + 12 more",201-500 Employees (India),47
Grivaa Capital,4.7,91,Private,New Delhi + 2 more,11-50 Employees (India),7
National Mineral...,4.7,90,Public,"Hyderabad/Secunderabad,Telangana + 10 more",5k-10k Employees (Global),64
Kamdhenu,4.0,90,Public,Alwar + 22 more,501-1k Employees (India),27
Abu Dhabi Commer...,4.0,90,unknown,Abu Dhabi + 4 more,201-500 Employees (India),37
Aligarh Muslim U...,4.6,90,Private,Aligarh + 6 more,5k-10k Employees (India),145
CohnReznick,3.8,90,Private,"New York,New York + 1 more",201-500 Employees (India),103
FarEye,2.8,90,Private,"Noida,Uttar Pradesh + 2 more",501-1k Employees (India),9
Nucon Aerospace,4.0,90,Private,Hyderabad + 1 more,201-500 Employees (India),50
